,LCLid,energy(kWh/hh)
318,MAC002136,0
319,MAC002136,0
320,MAC002136,0
321,MAC002136,0
322,MAC002136,0
323,MAC002136,0
324,MAC002136,0
325,MAC002136,0
326,MAC002136,0
327,MAC002136,0
328,MAC002136,0
329,MAC002136,0
330,MAC002136,0
331,MAC002136,0
332,MAC002136,0
333,MAC002136,0
334,MAC002136,0
335,MAC002136,0
336,MAC002136,0
337,MAC002136,0
338,MAC002136,0
339,MAC002136,0
340,MAC002136,0
341,MAC002136,0
342,MAC002136,0
343,MAC002136,0
344,MAC002136,0
345,MAC002136,0
346,MAC002136,0
347,MAC002136,0
348,MAC002136,0
349,MAC002136,0
350,MAC002136,0
351,MAC002136,0
352,MAC002136,0
353,MAC002136,0
354,MAC002136,0
355,MAC002136,0
356,MAC002136,0
357,MAC002136,0
358,MAC002136,0
359,MAC002136,0
360,MAC002136,0
361,MAC002136,0
362,MAC002136,0
363,MAC002136,0
364,MAC002136,0
365,MAC002136,0
366,MAC002136,0
367,MAC002136,0
368,MAC002136,0
369,MAC002136,0.006
370,MAC002136,0.004
371,MAC002136,0
372,MAC002136,0
373,MAC002136,0
374,MAC002136,0
375,MAC002136,0
376,MAC002136,0
377,MAC002136,0
378,MAC002136,0
379,MAC002136,0
380,MAC002136,0
381,MAC002136,0
382,MAC002136,0
383,MAC002136,0
384,MAC002136,0
385,MAC002136,0
386,MAC002136,0
387,MAC002136,0
388,MAC002136,0
389,MAC002136,0
390,MAC002136,0
391,MAC002136,0
392,MAC002136,0
393,MAC002136,0
394,MAC002136,0
395,MAC002136,0
396,MAC002136,0
397,MAC002136,0
398,MAC002136,0
399,MAC002136,0
400,MAC002136,0
401,MAC002136,0
402,MAC002136,0
403,MAC002136,0
404,MAC002136,0
405,MAC002136,0
406,MAC002136,0
407,MAC002136,0
408,MAC002136,0
409,MAC002136,0
410,MAC002136,0
411,MAC002136,0
412,MAC002136,0
413,MAC002136,0
414,MAC002136,0
415,MAC002136,0
416,MAC002136,0
417,MAC002136,0
418,MAC002136,0
419,MAC002136,0
420,MAC002136,0
421,MAC002136,0
422,MAC002136,0
423,MAC002136,0
424,MAC002136,0
425,MAC002136,0
426,MAC002136,0
427,MAC002136,0
428,MAC002136,0
429,MAC002136,0
430,MAC002136,0
431,MAC002136,0
432,MAC002136,0
433,MAC002136,0
434,MAC002136,0
435,MAC002136,0
436,MAC002136,0
437,MAC002136,0
438,MAC002136,0
439,MAC002136,0
440,MAC002136,0
441,MAC002136,0
442,MAC002136,0
443,MAC002136,0
444,MAC002136,0
445,MAC002136,0
446,MAC002136,0
447,MAC002136,0
448,MAC002136,0
449,MAC002136,0
450,MAC002136,0
451,MAC002136,0
452,MAC002136,0
453,MAC002136,0
454,MAC002136,0
455,MAC002136,0
456,MAC002136,0
457,MAC002136,0
458,MAC002136,0
459,MAC002136,0
460,MAC002136,0
461,MAC002136,0
462,MAC002136,0
463,MAC002136,0
464,MAC002136,0
465,MAC002136,0
466,MAC002136,0
467,MAC002136,0
468,MAC002136,0
469,MAC002136,0
470,MAC002136,0
471,MAC002136,0
472,MAC002136,0
473,MAC002136,0
474,MAC002136,0
475,MAC002136,0
476,MAC002136,0
477,MAC002136,0
478,MAC002136,0
479,MAC002136,0
480,MAC002136,0
481,MAC002136,0
482,MAC002136,0
483,MAC002136,0
484,MAC002136,0
485,MAC002136,0
486,MAC002136,0
487,MAC002136,0
488,MAC002136,0
489,MAC002136,0
490,MAC002136,0
491,MAC002136,0
492,MAC002136,0
493,MAC002136,0
494,MAC002136,0
495,MAC002136,0
496,MAC002136,0
497,MAC002136,0
498,MAC002136,0
499,MAC002136,0
500,MAC002136,0
501,MAC002136,0
502,MAC002136,0
503,MAC002136,0
504,MAC002136,0
505,MAC002136,0
506,MAC002136,0
507,MAC002136,0
508,MAC002136,0
509,MAC002136,0
510,MAC002136,0
511,MAC002136,0
512,MAC002136,0
513,MAC002136,0
514,MAC002136,0
515,MAC002136,0
516,MAC002136,0
517,MAC002136,0
518,MAC002136,0
519,MAC002136,0
520,MAC002136,0
521,MAC002136,0
522,MAC002136,0
523,MAC002136,0
524,MAC002136,0
525,MAC002136,0
526,MAC002136,0
527,MAC002136,0
528,MAC002136,0
529,MAC002136,0
530,MAC002136,0
531,MAC002136,0
532,MAC002136,0
533,MAC002136,0
534,MAC002136,0
535,MAC002136,0
536,MAC002136,0
537,MAC002136,0
538,MAC002136,0
539,MAC002136,0
540,MAC002136,0
541,MAC002136,0
542,MAC002136,0
543,MAC002136,0
544,MAC002136,0
545,MAC002136,0
546,MAC002136,0
547,MAC002136,0
